class,variable,value,period,deal,link,pub_date
A-2,BeginningNotePrincipalBalance,0,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-3,BeginningNotePrincipalBalance,86579270.53,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-4,BeginningNotePrincipalBalance,74070000,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
B,BeginningNotePrincipalBalance,23450000,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
C,BeginningNotePrincipalBalance,19540000,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
D,BeginningNotePrincipalBalance,14520000,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
Certificates,BeginningNotePrincipalBalance,,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-1,NoteRate,0.83,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-2,NoteRate,1.38,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-3,NoteRate,1.7,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-4,NoteRate,1.99,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
B,NoteRate,2.35,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
C,NoteRate,2.48,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
D,NoteRate,3.02,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
Certificates,NoteRate,,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-1,PrincipalDistribution,0,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-2,PrincipalDistribution,0,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-3,PrincipalDistribution,14835305.59,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-4,PrincipalDistribution,0,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
B,PrincipalDistribution,0,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
C,PrincipalDistribution,0,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
D,PrincipalDistribution,0,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
Certificates,PrincipalDistribution,,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-1,InterestDistribution,0,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-2,InterestDistribution,0,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-3,InterestDistribution,122653.97,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-4,InterestDistribution,122832.75,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
B,InterestDistribution,45922.92,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
C,InterestDistribution,40382.67,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
D,InterestDistribution,36542,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
Certificates,InterestDistribution,,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-1,PassThroughDistribution,,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-2,PassThroughDistribution,,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-3,PassThroughDistribution,,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
