class,value,variable,period,company,link
A-3,20843025.33,PrincipalDistribution,2019-07-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000042/a2017-1ex991081519.htm
A-4,0,PrincipalDistribution,2019-07-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000042/a2017-1ex991081519.htm
B,0,PrincipalDistribution,2019-07-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000042/a2017-1ex991081519.htm
C,0,PrincipalDistribution,2019-07-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000042/a2017-1ex991081519.htm
D,0,PrincipalDistribution,2019-07-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000042/a2017-1ex991081519.htm
A-1,0,BeginningNotePrincipalBalance,2019-06-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000037/a2017-1ex991071519.htm
A-2,0,BeginningNotePrincipalBalance,2019-06-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000037/a2017-1ex991071519.htm
A-3,263645026.33,BeginningNotePrincipalBalance,2019-06-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000037/a2017-1ex991071519.htm
A-4,117800000,BeginningNotePrincipalBalance,2019-06-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000037/a2017-1ex991071519.htm
B,24800000,BeginningNotePrincipalBalance,2019-06-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000037/a2017-1ex991071519.htm
C,26200000,BeginningNotePrincipalBalance,2019-06-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000037/a2017-1ex991071519.htm
D,30200000,BeginningNotePrincipalBalance,2019-06-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000037/a2017-1ex991071519.htm
A-1,0,EndingNotePrincipalBalance,2019-06-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000037/a2017-1ex991071519.htm
A-2,0,EndingNotePrincipalBalance,2019-06-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000037/a2017-1ex991071519.htm
A-3,244100766.06,EndingNotePrincipalBalance,2019-06-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000037/a2017-1ex991071519.htm
A-4,117800000,EndingNotePrincipalBalance,2019-06-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000037/a2017-1ex991071519.htm
B,24800000,EndingNotePrincipalBalance,2019-06-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000037/a2017-1ex991071519.htm
C,26200000,EndingNotePrincipalBalance,2019-06-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000037/a2017-1ex991071519.htm
D,30200000,EndingNotePrincipalBalance,2019-06-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000037/a2017-1ex991071519.htm
A-1,0,InterestDistribution,2019-06-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000037/a2017-1ex991071519.htm
